breakout_lookback,exit_lookback,rs_threshold,trail_trigger_pct,trail_offset_pct,rs_slope_weeks,total_trades,win_rate_pct,profit_factor,expectancy_rs,total_pnl_rs,avg_win_rs,avg_loss_rs,avg_win_pct,avg_loss_pct,max_drawdown_rs,avg_weeks_held
3,5,10,5.0,4.0,3,2284,58.58143607705779,2.354280370249459,2063.5630965525743,4713178.11252608,6123.607364962675,-3678.8673803319025,15.576324076383006,-9.377506989575735,-329172.11224220786,8.980735551663749
3,5,5,5.0,4.0,2,2579,58.47227607599845,2.351067173223807,2034.020088362152,5245737.80788599,6053.3158341227245,-3625.2684126714094,15.399205994057342,-9.234486661134618,-345815.36592828296,8.95308259015122
3,3,10,3.0,4.0,2,2529,52.431791221826806,2.3457863654994293,1811.5085970321077,4581305.2418942,6022.239711857315,-2829.7461479871986,15.318933226826948,-7.203635554510647,-334561.12909133174,7.3527085804665875
2,4,0,5.0,4.0,2,3161,56.7225561531161,2.3456934293615883,1909.0254665724767,6034429.499835599,5866.526647235315,-3277.962557498041,14.910787255884193,-8.349822637125543,-353107.90395878255,8.397658968680798
2,3,10,2.0,4.0,2,2798,51.92994996426019,2.3438307551840762,1773.3007531818334,4961695.50740277,5955.883125386091,-2745.132099467078,15.134312310782366,-6.990864134970423,-359707.6268558344,7.070407433881344
1,5,10,5.0,4.0,2,2818,59.048970901348476,2.340899727680347,2024.3714544044499,5704678.75851174,5985.003105131255,-3686.626003835936,15.21847578042001,-9.385663890623356,-404352.1752992645,8.683818310858765
3,4,10,5.0,4.0,3,2327,56.98324022346368,2.3389907507057424,1991.366354589884,4633909.50713066,6104.56822455629,-3457.290667963017,15.528208024938621,-8.814787938795945,-298592.3937691264,8.513966480446927
3,5,10,3.0,4.0,2,2428,55.6836902800659,2.3340150219363873,1908.0646277345595,4632780.91613951,5995.2596685771605,-3227.5187321345816,15.24923018474958,-8.217219394378988,-377780.7567077819,8.244233937397034
2,4,5,3.0,4.0,2,2964,54.453441295546554,2.33288825244912,1838.636618447321,5449718.937077859,5909.772599877628,-3028.6326215737995,15.021637114221932,-7.7109959189146196,-338430.6194961313,7.816126855600539
2,3,5,5.0,4.0,2,2974,54.53934095494284,2.3323285290577784,1865.7725559135272,5548807.58128683,5988.626283522897,-3080.432138008365,15.2274822641511,-7.840238909042479,-327557.4516095915,7.673839946200403
